nodeID,nodeLabel,nodeLong,nodeLat
3,3,-115.147338,36.193992
6,6,-115.147489,36.192131
7,7,-115.147418,36.189829
9,9,-115.147512,36.194894
10,10,-115.146999,36.184298
11,11,-115.147156,36.184607
12,12,-115.147154,36.188311
14,14,-115.147273,36.190482
16,16,-115.146849,36.181297
17,17,-115.151745,36.17789
18,18,-115.151742,36.192243
19,19,-115.151929,36.191834
21,21,-115.152018,36.195388
23,23,-115.152018,36.17889
24,24,-115.151982,36.185191
25,25,-115.151788,36.185468
28,28,-115.151839,36.187723
29,29,-115.152057,36.187959
30,30,-115.151748,36.181027
31,31,-115.151941,36.180382
34,34,-115.141989,36.169247
35,35,-115.145195,36.164434
36,36,-115.143559,36.166877
39,39,-114.843729,35.96831
40,40,-114.836638,35.968609
41,41,-114.8308,35.968919
42,42,-114.82686,35.96913
50,50,-115.25647,36.166601
52,52,-115.25174,36.166598
55,55,-115.209335,36.165968
56,56,-115.182689,36.166329
57,57,-115.183624,36.166218
61,61,-115.269384,36.166521
63,63,-115.206759,36.166616
66,66,-115.214559,36.165941
67,67,-115.216066,36.166091
68,68,-115.154545,36.16665
69,69,-115.156544,36.16665
70,70,-115.229099,36.166477
72,72,-115.223137,36.166295
73,73,-115.224587,36.16647
76,76,-115.236674,36.166338
78,78,-115.160139,36.166154
81,81,-115.243415,36.166363
82,82,-115.245119,36.166568
83,83,-115.171846,36.166077
84,84,-115.174276,36.166216
85,85,-115.27388,36.16651
86,86,-115.262007,36.16664
92,92,-115.226689,36.166304
95,95,-115.232454,36.166328
96,96,-115.233697,36.166518
97,97,-115.216989,36.165939
98,98,-115.191447,36.166155
100,100,-115.239958,36.166538
102,102,-115.265077,36.166609
114,114,-114.83457,35.978319
126,126,-115.199293,36.116067
127,127,-115.199508,36.115009
128,128,-115.199224,36.109208
129,129,-115.199447,36.10755
131,131,-115.199465,36.11174
132,132,-115.19927,36.112995
133,133,-115.199371,36.10419
135,135,-115.199377,36.121836
136,136,-115.199432,36.119361
158,158,-115.147628,36.177362
159,159,-115.148499,36.177172
161,161,-115.153016,36.177244
162,162,-115.156164,36.177052
163,163,-115.155555,36.177222
165,165,-115.118217,36.173859
166,166,-115.13312,36.17396
167,167,-115.135858,36.174455
168,168,-115.066877,36.17404
171,171,-115.124363,36.173871
172,172,-115.125617,36.174137
174,174,-115.166571,36.177078
177,177,-115.053477,36.174217
178,178,-115.17324,36.177259
179,179,-115.115238,36.173797
180,180,-115.116707,36.17413
184,184,-115.092321,36.173376
185,185,-115.092964,36.173594
187,187,-115.078743,36.173643
188,188,-115.136395,36.174508
190,190,-115.079524,36.17339
191,191,-115.081208,36.17361
192,192,-115.064826,36.173856
194,194,-115.049299,36.17437
195,195,-115.159496,36.177024
196,196,-115.162145,36.177204
199,199,-115.143351,36.177396
200,200,-115.070672,36.173675
201,201,-115.130079,36.173946
202,202,-115.131052,36.174125
203,203,-115.112698,36.173923
204,204,-115.112394,36.173696
205,205,-115.045629,36.17448
206,206,-115.105145,36.173534
207,207,-115.106448,36.17382
208,208,-115.056829,36.174217
210,210,-115.064065,36.174106
211,211,-115.075256,36.173532
212,212,-115.097127,36.173379
213,213,-115.09918,36.173669
214,214,-115.070076,36.173915
215,215,-115.173879,36.177082
217,217,-115.095858,36.17363
218,218,-115.07389,36.173827
219,219,-115.088638,36.173357
220,220,-115.109955,36.173637
225,225,-115.169368,36.177082
226,226,-115.170583,36.177229
227,227,-115.085689,36.173373
228,228,-115.087209,36.17359
229,229,-115.138163,36.175277
236,236,-115.096002,36.140569
242,242,-114.91175,35.97221
246,246,-114.974487,36.032539
247,247,-115.086309,36.132586
248,248,-114.961749,36.021832
249,249,-114.960953,36.020521
250,250,-115.005223,36.060508
251,251,-115.004641,36.059372
252,252,-115.094936,36.140224
253,253,-115.037225,36.088976
254,254,-115.037659,36.088729
259,259,-115.068069,36.11576
260,260,-115.067173,36.115577
262,262,-115.007293,36.061738
267,267,-114.964467,36.023658
268,268,-115.040987,36.092346
270,270,-115.058858,36.107583
272,272,-115.074242,36.121852
273,273,-115.073699,36.120758
275,275,-114.999437,36.055367
276,276,-114.982682,36.040496
278,278,-115.084147,36.130638
281,281,-114.942389,36.003959
282,282,-114.94331,36.005415
283,283,-114.971862,36.03082
286,286,-115.009186,36.064031
287,287,-115.044947,36.095865
289,289,-114.947098,36.008178
290,290,-114.947149,36.008879
292,292,-115.064129,36.112263
293,293,-115.063453,36.112271
295,295,-114.995476,36.051838
296,296,-114.995796,36.051466
297,297,-114.965796,36.025463
298,298,-114.940399,36.002858
299,299,-114.94025,36.002089
300,300,-115.001875,36.057526
301,301,-115.00158,36.056645
303,303,-115.032256,36.08393
307,307,-114.999785,36.055052
308,308,-115.057589,36.107064
314,314,-115.051156,36.101344
318,318,-114.989121,36.046184
319,319,-114.988274,36.044809
332,332,-115.125227,36.182897
335,335,-115.12522,36.18453
338,338,-115.12524,36.180768
339,339,-114.845788,35.97356
340,340,-114.845398,35.9702
342,342,-115.260158,36.185429
348,348,-114.96559,36.037425
370,370,-115.124541,36.202995
371,371,-115.125761,36.203209
372,372,-115.119523,36.203004
373,373,-115.121828,36.203219
375,375,-115.170393,36.203056
376,376,-115.14179,36.202959
377,377,-115.14356,36.203198
381,381,-115.128934,36.202984
382,382,-115.130404,36.203203
384,384,-115.147563,36.203197
397,397,-115.139359,36.203238
398,398,-115.138842,36.202985
399,399,-115.160057,36.202919
400,400,-115.161702,36.203117
402,402,-115.15706,36.203198
403,403,-115.156762,36.202962
408,408,-115.153388,36.203258
411,411,-115.01926,36.202429
418,418,-115.165842,36.203085
440,440,-114.967325,36.046223
441,441,-114.967334,36.042767
442,442,-114.96739,36.039908
443,443,-114.966306,36.050308
445,445,-115.140084,36.158745
446,446,-115.141786,36.158938
447,447,-115.132255,36.158771
448,448,-115.133356,36.158995
449,449,-115.12928,36.158761
450,450,-115.129482,36.158981
451,451,-115.110957,36.158699
452,452,-115.112364,36.158946
453,453,-115.249912,36.158978
455,455,-115.073841,36.158867
456,456,-115.200271,36.159159
457,457,-115.058354,36.159296
458,458,-115.082766,36.158815
459,459,-115.124453,36.158752
460,460,-115.125824,36.158978
461,461,-115.210909,36.159224
462,462,-115.209626,36.158962
463,463,-115.261609,36.158991
464,464,-115.178365,36.158821
465,465,-115.182829,36.158846
466,466,-115.18398,36.159067
467,467,-115.185964,36.158864
468,468,-115.187451,36.159086
470,470,-115.054281,36.159459
472,472,-115.120525,36.158743
473,473,-115.20473,36.158943
474,474,-115.206551,36.159218
477,477,-115.279466,36.158958
478,478,-115.280807,36.159175
479,479,-115.119857,36.158962
480,480,-115.200781,36.158945
482,482,-115.067983,36.15886
483,483,-115.115516,36.15874
484,484,-115.194804,36.158911
485,485,-115.196039,36.15914
486,486,-115.094151,36.158963
487,487,-115.222962,36.159051
488,488,-115.224926,36.159309
489,489,-115.147005,36.158734
490,490,-115.148204,36.158957
491,491,-115.079742,36.158848
492,492,-115.081447,36.159063
495,495,-115.073181,36.159085
496,496,-115.07665,36.159101
497,497,-115.136234,36.158763
498,498,-115.13779,36.159004
499,499,-115.214512,36.159037
500,500,-115.215781,36.159288
501,501,-115.106353,36.158725
502,502,-115.106102,36.158947
503,503,-115.061301,36.15895
504,504,-115.063968,36.159153
507,507,-115.287579,36.15921
508,508,-115.100674,36.158722
509,509,-115.255819,36.158999
511,511,-115.099004,36.158977
512,512,-115.102265,36.158976
513,513,-115.056724,36.159144
515,515,-115.242706,36.15901
516,516,-115.244603,36.159235
517,517,-115.172033,36.158762
518,518,-115.173398,36.159007
519,519,-115.239945,36.159242
522,522,-115.087007,36.158796
523,523,-115.088303,36.159001
524,524,-115.094607,36.158711
525,525,-115.237176,36.159039
529,529,-115.048505,36.159523
530,530,-115.272341,36.158971
531,531,-115.170629,36.159018
532,532,-115.232072,36.159302
533,533,-115.23402,36.159055
534,534,-115.235842,36.15926
535,535,-115.220527,36.159286
536,536,-115.191553,36.158898
538,538,-115.266414,36.158981
540,540,-115.218688,36.159062
541,541,-115.168063,36.158776
542,542,-115.166251,36.159018
543,543,-115.069275,36.159137
544,544,-115.10058,36.21754
545,545,-115.201663,36.217462
546,546,-115.201239,36.217237
547,547,-115.187698,36.217403
548,548,-115.189435,36.217603
549,549,-115.113427,36.217767
550,550,-115.112408,36.217536
551,551,-115.130009,36.217602
552,552,-115.26118,36.218407
553,553,-115.194525,36.21732
554,554,-115.265577,36.218507
555,555,-115.136413,36.217687
556,556,-115.11931,36.217522
557,557,-115.169576,36.217552
558,558,-115.170882,36.217764
559,559,-115.142567,36.217847
560,560,-115.143649,36.218117
561,561,-115.20682,36.21718
562,562,-115.20841,36.217377
563,563,-115.071827,36.217859
564,564,-115.075196,36.217614
565,565,-115.148258,36.21801
566,566,-115.147102,36.217802
567,567,-115.224886,36.216684
568,568,-115.227255,36.217073
569,569,-115.079441,36.217599
570,570,-115.080747,36.217859
571,571,-115.066074,36.21796
572,572,-115.067303,36.218097
573,573,-115.092598,36.21756
574,574,-115.129025,36.217816
575,575,-115.16062,36.217583
576,576,-115.162727,36.217839
577,577,-115.11824,36.217766
578,578,-115.230575,36.217349
579,579,-115.216273,36.216896
580,580,-115.217412,36.217083
581,581,-115.22179,36.217068
582,582,-115.133487,36.217619
583,583,-115.134599,36.217899
585,585,-115.062955,36.218389
586,586,-115.097855,36.21754
587,587,-115.099191,36.217761
588,588,-115.241509,36.21803
589,589,-115.243038,36.21836
590,590,-115.236069,36.217567
591,591,-115.210977,36.217047
592,592,-115.21366,36.217197
593,593,-115.094366,36.217782
594,594,-115.240789,36.218229
595,595,-115.178514,36.217448
596,596,-115.18004,36.21774
597,597,-115.274772,36.218656
598,598,-115.250614,36.218069
599,599,-115.252099,36.218387
600,600,-115.220869,36.216799
601,601,-115.233379,36.21735
602,602,-115.234819,36.217747
603,603,-115.154082,36.217689
604,604,-115.154983,36.217898
605,605,-115.106618,36.217528
606,606,-115.104139,36.2178
607,607,-115.109598,36.217757
608,608,-115.08848,36.21759
609,609,-115.09012,36.217848
611,611,-115.228537,36.216959
618,618,-115.121108,36.216603
619,619,-115.121063,36.213701
620,620,-115.12081,36.214436
622,622,-115.121117,36.203641
623,623,-115.120914,36.207009
624,624,-115.121164,36.206097
626,626,-115.117577,36.197994
627,627,-115.120758,36.210899
628,628,-115.121242,36.210036
630,630,-115.12064,36.202602
631,631,-115.119914,36.201363
632,632,-115.116351,36.196504
633,633,-115.116408,36.194814
635,635,-115.119211,36.201036
636,636,-115.118513,36.198404
637,637,-115.116019,36.189073
639,639,-115.116101,36.192527
640,640,-115.116354,36.191719
653,653,-115.142938,36.20651
655,655,-115.106982,36.218619
661,661,-115.161345,36.132251
667,667,-115.188701,36.239253
668,668,-115.2161,36.238719
669,669,-115.07182,36.240239
670,670,-115.184171,36.239291
671,671,-115.218897,36.238759
672,672,-115.224937,36.238848
674,674,-115.079038,36.240308
675,675,-115.066862,36.240581
676,676,-115.065255,36.240324
677,677,-115.056551,36.240424
679,679,-115.059716,36.240357
680,680,-115.071344,36.240531
682,682,-115.202579,36.238789
683,683,-115.210311,36.23864
684,684,-115.063253,36.240618
685,685,-115.197507,36.238983
688,688,-115.207321,36.232485
689,689,-115.206064,36.160499
690,690,-115.205705,36.159682
691,691,-115.205845,36.167464
692,692,-115.206214,36.165556
693,693,-115.205883,36.177694
694,694,-115.206213,36.177067
695,695,-115.206286,36.1826
696,696,-115.207379,36.227063
697,697,-115.206034,36.158573
698,698,-115.207344,36.217872
699,699,-115.205881,36.192602
701,701,-115.20791,36.130532
702,702,-115.20826,36.129394
703,703,-115.206217,36.191967
704,704,-115.208152,36.153076
705,705,-115.208289,36.138093
706,706,-115.20796,36.141842
707,707,-115.208294,36.140385
709,709,-115.205709,36.199684
710,710,-115.206073,36.198499
711,711,-115.206115,36.162578
712,712,-115.205773,36.157983
713,713,-115.207908,36.115979
714,714,-115.208261,36.1144
715,715,-115.205837,36.165002
718,718,-115.205799,36.195986
719,719,-115.206163,36.194717
720,720,-115.206207,36.169212
722,722,-115.207985,36.148482
723,723,-115.208359,36.147679
724,724,-115.207801,36.152826
725,725,-115.208336,36.151265
726,726,-115.208261,36.133142
727,727,-115.207941,36.137769
728,728,-115.207717,36.213606
730,730,-115.207403,36.223818
731,731,-115.20551,36.206067
733,733,-115.207871,36.112371
734,734,-115.208207,36.11074
735,735,-115.207844,36.106604
736,736,-115.208179,36.105853
737,737,-115.207951,36.145784
738,738,-115.208319,36.143956
739,739,-115.207413,36.235758
740,740,-115.20793,36.134425
741,741,-115.205527,36.20349
742,742,-115.20598,36.202196
743,743,-115.207954,36.126726
744,744,-115.208306,36.125382
745,745,-115.207954,36.119131
747,747,-115.207778,36.101936
748,748,-115.208001,36.122985
749,749,-115.20834,36.121905
750,750,-115.207864,36.110464
751,751,-115.205967,36.188635
752,752,-115.206351,36.187262
753,753,-115.208263,36.117274
754,754,-115.205934,36.181462
755,755,-115.206264,36.180144
756,756,-115.205983,36.185404
763,763,-115.087942,36.129501
764,764,-115.122506,36.129772
765,765,-115.083136,36.130644
766,766,-115.085164,36.129757
767,767,-115.096961,36.129771
772,772,-115.289704,36.129811
775,775,-115.117891,36.12973
